order,title,link0,link1,link2,link3,link4
1A,Coding is a personal journey,https://calendly.com/jnguyen-lfz/1-1-alumni-mentorship,,,,
1B,Who I am,https://open.spotify.com/playlist/3lxSdzjb4rGXZ1td1kkNZl?si=cxw0nUgtR36Id2S0VbFU_A&pi=u-HNJgU-wnQ9Oy,https://youtu.be/QBajvZaWLXs?si=Lu0e3xx5aKS7-5ca,https://youtu.be/dg2TT1OJlQs?si=Etwj73aEOAWj9yJU,https://youtu.be/FrMRyXtiJkc?si=ONf7_JPb8gXWyr3d,https://youtu.be/X6AR2RMB5tE?si=wS_T0HLLDCXHiyNS
1C,Who I was,,,,,
2A,Climbing out from the bottom,https://j.gifs.com/58vKNx.gif,,,,
2B,Breaking out of my shell,,,,,
2C,Resume tips to highlight your soft skills,,,,,
3A,Career Services is worth its weight in gold,,,,,
3B,Developing my soft skills through building relationships,,,,,
3C,Leverage career services to get your interviews,,,,,
4A,Developing your personal brand,,,,,
4B,Your pitch and talking tech,,,,,
4C,Communicating during the coding session,,,,,
